Date,Volume,Thickness
2016-01-01,12754,106.54
2016-01-02,13089,108.95
2016-01-03,13353,110.77
2016-01-04,13537,112.18
2016-01-05,13670,113
2016-01-06,13779,113.57
2016-01-07,13879,113.82
2016-01-08,13954,114.14
2016-01-09,14009,113.99
2016-01-10,14082,113.73
2016-01-11,14121,113.8
2016-01-12,14155,113.6
2016-01-13,14175,113.47
2016-01-14,14205,113.15
2016-01-15,14221,112.76
2016-01-16,14260,112.48
2016-01-17,14304,112.75
2016-01-18,14339,112.68
2016-01-19,14370,112.29
2016-01-20,14372,112.1
2016-01-21,14392,112.02
2016-01-22,14435,112.13
2016-01-23,14480,112.21
2016-01-24,14512,112.3
2016-01-25,14532,112.39
2016-01-26,14543,112.63
2016-01-27,14587,113.02
2016-01-28,14645,113.23
2016-01-29,14725,113.6
2016-01-30,14808,113.89
2016-01-31,14888,114.33
2016-02-01,14939,114.59
2016-02-02,14976,114.74
2016-02-03,15005,114.91
2016-02-04,15035,114.79
2016-02-05,15058,114.88
2016-02-06,15110,115.34
2016-02-07,15165,115.45
2016-02-08,15223,115.73
2016-02-09,15273,116.19
2016-02-10,15305,116.3
2016-02-11,15350,116.46
2016-02-12,15430,116.93
2016-02-13,15535,117.13
2016-02-14,15638,117.66
2016-02-15,15727,118.36
2016-02-16,15815,119.28
2016-02-17,15926,120.26
2016-02-18,16040,121
2016-02-19,16136,121.18
2016-02-20,16237,121.34
2016-02-21,16325,121.75
2016-02-22,16424,122.51
2016-02-23,16517,123.37
2016-02-24,16599,123.94
2016-02-25,16661,124.03
2016-02-26,16728,124.16
2016-02-27,16813,124.81
2016-02-28,16902,125.39
2016-02-29,17106,125.58
2016-03-01,17175,126
2016-03-02,17292,126.61
2016-03-03,17430,127.86
2016-03-04,17575,128.96
2016-03-05,17722,130.16
2016-03-06,17860,131.18
2016-03-07,17966,132.11
2016-03-08,18056,132.78
2016-03-09,18158,133.51
2016-03-10,18272,134.06
2016-03-11,18388,134.34
2016-03-12,18504,134.79
2016-03-13,18635,135.83
2016-03-14,18753,136.76
2016-03-15,18852,137.59
2016-03-16,18928,138.41
2016-03-17,18997,139.09
2016-03-18,19064,139.52
2016-03-19,19141,140.55
2016-03-20,19221,141.1
2016-03-21,19298,141.73
2016-03-22,19390,142.37
2016-03-23,19489,143.64
2016-03-24,19601,144.77
2016-03-25,19728,145.9
2016-03-26,19878,147.03
2016-03-27,20020,148.29
2016-03-28,20107,149.52
2016-03-29,20193,150.46
2016-03-30,20292,151.33
2016-03-31,20380,151.89
2016-04-01,20430,152.25
2016-04-02,20486,152.76
2016-04-03,20561,153.72
2016-04-04,20655,154.78
2016-04-05,20756,155.6
2016-04-06,20846,156.76
2016-04-07,20944,157.83
2016-04-08,21038,158.82
2016-04-09,21122,159.73
2016-04-10,21192,160.47
2016-04-11,21244,161.3
2016-04-12,21279,161.86
2016-04-13,21319,162.13
2016-04-14,21373,162.82
2016-04-15,21405,163.24
2016-04-16,21432,163.86
2016-04-17,21442,164.29
2016-04-18,21443,164.69
2016-04-19,21447,164.94
2016-04-20,21469,165.63
2016-04-21,21486,166.17
2016-04-22,21483,166.72
2016-04-23,21464,167.07
2016-04-24,21455,167.43
2016-04-25,21463,168.02
2016-04-26,21462,168.36
2016-04-27,21457,168.96
2016-04-28,21469,169.68
2016-04-29,21471,170.36
2016-04-30,21431,170.73
2016-05-01,21383,171.17
2016-05-02,21356,171.57
2016-05-03,21325,172
2016-05-04,21306,172.6
2016-05-05,21305,173.33
2016-05-06,21321,174.08
2016-05-07,21326,175.11
2016-05-08,21312,176
2016-05-09,21273,176.56
2016-05-10,21212,176.8
2016-05-11,21146,177.3
2016-05-12,21040,177.39
2016-05-13,20932,177.09
2016-05-14,20830,176.93
2016-05-15,20702,176.7
2016-05-16,20574,176.46
2016-05-17,20442,176.18
2016-05-18,20327,176.2
2016-05-19,20203,175.95
2016-05-20,20079,175.9
2016-05-21,19981,175.63
2016-05-22,19874,175.55
2016-05-23,19753,175.21
2016-05-24,19625,174.89
2016-05-25,19497,174.44
2016-05-26,19368,174.08
2016-05-27,19242,173.8
2016-05-28,19124,173.57
2016-05-29,19017,173.55
2016-05-30,18904,173.49
2016-05-31,18799,173.72
2016-06-01,18717,174.05
2016-06-02,18645,174.42
2016-06-03,18562,174.52
2016-06-04,18480,174.5
2016-06-05,18379,174.59
2016-06-06,18276,174.56
2016-06-07,18149,174.33
2016-06-08,18037,173.95
2016-06-09,17917,173.75
2016-06-10,17788,173.39
2016-06-11,17641,173.1
2016-06-12,17481,172.38
2016-06-13,17322,171.48
2016-06-14,17164,170.67
2016-06-15,16980,169.9
2016-06-16,16759,168.97
2016-06-17,16552,167.63
2016-06-18,16346,166.39
2016-06-19,16119,165.05
2016-06-20,15893,164.02
2016-06-21,15669,162.66
2016-06-22,15445,161.55
2016-06-23,15219,160.27
2016-06-24,14978,159.16
2016-06-25,14710,157.96
2016-06-26,14445,156.59
2016-06-27,14162,155.15
2016-06-28,13891,154.14
2016-06-29,13597,153.24
2016-06-30,13320,151.36
2016-07-01,13021,150.07
2016-07-02,12710,148.85
2016-07-03,12420,146.89
2016-07-04,12105,145.08
2016-07-05,11801,143.08
2016-07-06,11504,140.56
2016-07-07,11209,139.08
2016-07-08,10919,137.76
2016-07-09,10647,135.8
2016-07-10,10399,134.05
2016-07-11,10138,132.34
2016-07-12,9872,130.65
2016-07-13,9594,129.41
2016-07-14,9343,127.64
2016-07-15,9108,125.74
