Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01/01/2016,105.07,,98.69,118.6,113.56,103.54,94.37,111.9,115.7,107.67,94.83,109.17,104.05,94.31
02/01/2016,107.48,,101.12,121.94,115.23,105.79,95.9,115.38,118,110.68,96.48,112.22,105.68,96.94
03/01/2016,109.12,,103.11,124.59,116.69,106.95,97.24,118.54,119.93,112.11,97.77,113.69,106.64,98.25
04/01/2016,110.28,,104.31,126.99,116.31,108.5,97.9,120.96,121.11,114.36,99.21,113.48,107.14,99.54
05/01/2016,110.92,,104.18,128.76,115.83,108.55,99.05,123.11,121.93,115.98,99.57,112.57,107.1,100.62
06/01/2016,111.47,,103.36,129.14,115.88,108.56,100.59,125.57,122.87,117.13,99.02,112.7,107.04,101.01
07/01/2016,111.78,,103.29,128.64,116.13,108.26,102.2,126.33,123.64,117.52,98.35,113.54,107.56,100.87
08/01/2016,112.22,,103.24,127.76,116.43,108.78,103.09,126.39,124.18,119.51,97.9,113.72,108.77,101.79
09/01/2016,112.29,,103.53,126.36,115.31,109.34,103.41,125.84,124.44,120.68,97.01,113.98,109.93,102.14
10/01/2016,112.24,,102.98,125.57,113.58,109,105.3,125.55,123.46,121.25,96.9,114.14,110.2,102.65
11/01/2016,112.37,,102.8,124.99,114.12,108.98,105.65,125.1,125.73,120.69,96.16,114.5,110.31,102.92
12/01/2016,112.32,,102.32,124.41,114.92,108.28,105.68,123.44,126.5,121.49,95.39,115.34,110.5,103.33
13/01/2016,112.22,,102.71,124.37,115.46,107.53,105.77,123.15,125.4,121.75,95.12,116.22,110.32,103.43
14/01/2016,111.87,,103.26,124.06,116.63,106.84,106.1,122.27,124.03,120.59,94.58,116.08,110.27,102.69
15/01/2016,111.44,,102.8,123.42,117.17,107.54,106.08,120.78,123.46,120,93.63,115.42,109.41,101.94
16/01/2016,111.21,,102.64,123.41,117.75,108.86,105.11,119.28,123.24,119.27,92.72,114.91,109.01,101.86
17/01/2016,111.47,,102.57,123.17,119.07,110.52,104.46,121.5,123.27,117.41,92.79,114.61,109.17,102.06
18/01/2016,111.48,,102.74,122.33,119.8,111.38,103.47,121.13,123.21,115.84,94.23,114.28,109.69,102.97
19/01/2016,111.27,,102.41,121.73,119.04,111.24,101.88,120.93,122.84,115.79,94.79,114.87,110.25,101.9
20/01/2016,111.12,,102.73,121,120.61,110.76,101.13,120.17,122.41,115.52,94.54,114.69,111.04,102.01
21/01/2016,110.83,,103.39,120.77,120.86,109.96,100.1,119.56,123.47,115.5,94.55,114.26,111.21,101.6
22/01/2016,110.83,,103.82,120.22,121.07,110.05,99.73,119.2,124.46,115.78,94.84,114.35,110.57,101.91
23/01/2016,110.83,,103.9,120.84,120.84,110.49,99.1,118.84,125.63,115.17,95.08,114.6,109.3,102.34
24/01/2016,110.9,,102.13,121.1,120.75,110.56,99.53,118.67,126.18,116.2,95.56,115.44,107.9,103.08
25/01/2016,110.83,,102.65,119.68,120.95,109.61,99.31,119.88,126.75,116.88,95.84,114.17,107.13,103.81
26/01/2016,110.88,,103.64,118.27,121.64,108.08,101.1,120.65,126.78,116.99,96.56,112.64,107.46,103.98
27/01/2016,111.15,,104.96,119.49,121.72,107.24,101.61,119.76,126.74,117.8,97.89,111.71,108.14,103.81
28/01/2016,111.41,,106.92,119.57,120.43,107.41,101.95,118.98,125.43,118.94,99.43,110.87,109.03,104.5
29/01/2016,111.96,,108.73,118.36,120.53,107.01,102.47,119.45,125.71,119.83,100.33,111.72,110.53,104.7
30/01/2016,112.33,,110.34,117.12,120.33,107.04,102.96,120.13,125.72,120.53,100.85,113.19,111.6,104.18
31/01/2016,112.66,,112.15,116.02,120.82,108.26,102.62,120.25,126.41,120.58,101.88,114.67,111.14,103.57
01/02/2016,112.82,,114.05,115.35,121.68,108.77,101.75,121.12,125.97,120.25,102.41,115.09,110.8,103.88
02/02/2016,112.84,,114.67,114.87,122.66,109.57,101.99,121.08,125.93,119.74,102.14,114.59,111.15,103.79
03/02/2016,112.91,,115.71,115.12,122.1,110.09,102.64,122.75,125.39,118.77,101.64,115.12,111.35,103.63
04/02/2016,112.86,,116.02,115.06,120.63,110.27,104.5,122.26,125.06,117.86,101.45,116.06,111.86,103.69
05/02/2016,112.91,,117.68,114.57,120.4,111.07,106.11,120.68,123.95,117.74,101.73,117.01,111.3,103.97
06/02/2016,113.39,,118.42,115.13,120.08,112.37,107.33,121.26,123.76,117.47,102.23,118.51,112.53,103.97
07/02/2016,113.38,,118.26,115.96,119.62,113.06,107.63,119.29,124.41,117.37,103.43,117.7,112.69,104.73
08/02/2016,113.69,,118.02,116.24,119.52,114.93,107.31,120.27,123.39,117.42,104.49,118.14,113.34,105
09/02/2016,114.17,,118.53,116.54,119.75,116.18,107.09,121.2,122.96,118.82,104.6,119.07,115.09,104.27
10/02/2016,114.26,,118.46,117.25,119.67,116.78,107.13,120.46,122.54,119.65,104.74,118.95,116.03,103.39
11/02/2016,114.46,,118.55,118.24,120.48,116.81,106.8,120.14,120.89,121.17,105.07,118.7,116.24,103.51
12/02/2016,114.83,,118.78,119.14,121.44,116.7,106.54,120.64,121.03,121.82,106.25,118.15,115.52,104.94
13/02/2016,115.04,,118.75,120.27,122.63,116.97,105.82,118.98,120.87,122.35,107.5,116.83,116.34,106.51
14/02/2016,115.44,,119.49,121.32,124.32,116.73,105.39,119.21,121.49,122.32,108.71,115.91,117.81,107.36
15/02/2016,116,,120.25,121.86,124.92,116.49,105.95,120.2,123.32,122.88,109.41,115.65,119.17,107.36
16/02/2016,116.92,,121.09,122.03,125.58,117.15,107.44,121.27,124.02,123.72,111.21,116.52,120.57,107.13
17/02/2016,117.92,,122.34,122.33,126.61,117,109.71,122.22,124.85,124.28,113.04,117.71,121.4,107.36
18/02/2016,118.64,,124.12,122.5,126.56,117.27,112.07,121.54,125,124.97,115.01,118.91,121.51,107.58
19/02/2016,118.91,,126.04,121.87,125.97,117.09,113.9,120.83,124.44,124,116.44,119.87,120.78,107.56
20/02/2016,119.26,,126.85,122.62,124.74,116.99,115.72,119.57,124.34,123.04,118.15,120.66,120.98,107.92
21/02/2016,119.7,,126.88,124.66,124.79,116.24,117.59,119.32,125.27,122.33,118.71,121.29,121.35,107.68
22/02/2016,120.41,,126.63,125.67,125.46,116.61,118.13,119.43,127.14,123.52,119.96,121.6,121.63,107.74
23/02/2016,121.16,,126.81,127.36,126.17,116.62,119.11,120.06,128.3,124.37,121.55,121.46,121.67,109.28
24/02/2016,121.82,,126.93,128.71,126.51,116.4,119.89,120.59,129.43,124.92,122.04,122.61,121.18,111.28
25/02/2016,121.96,,127.73,128.89,127.34,116.66,120.11,120.55,129.07,124.44,121.48,123.82,120.26,112.47
26/02/2016,122.13,,128.31,129.91,127.63,117.8,119.09,120.87,128.38,125.04,120.4,123.7,119.64,113.13
27/02/2016,122.67,,128.29,130.72,129.5,117.92,121.72,121.21,129.14,125.61,119.19,124.13,119.69,114
28/02/2016,123.34,,128.31,131.68,132.41,118.16,121.68,120.95,130.31,126.77,118.22,124.46,120.36,116.05
29/02/2016,124.5,,128.63,131.51,132.58,118.01,121.59,121.18,130.44,128.11,118.21,124.78,120.65,118.25
01/03/2016,125,,128.94,131.35,132.76,119.99,121.51,121.4,130.58,129.25,118.2,125.18,120.9,119.94
02/03/2016,125.63,,129.02,130.69,133.62,122.77,122.47,122.22,130.41,129.81,118.48,126.3,121.74,119.97
03/03/2016,126.75,,129.19,130.86,134.85,125.43,124.75,123.37,131.54,131.58,119.13,127.89,123.05,119.37
04/03/2016,127.78,,130.09,131.91,134.74,127.58,126.24,125.19,131.65,133.26,119.94,129.2,124.37,119.23
05/03/2016,128.94,,130.98,131.86,135.86,128.15,128.01,127.31,132.75,135.3,121.22,130.71,125.14,119.95
06/03/2016,129.95,,131.45,132.72,136.56,128.38,129.34,129.2,133.64,137.76,121.6,131.69,126.05,120.96
07/03/2016,130.73,,131.21,134.97,136.93,128.26,130.53,130.89,135.07,139.11,121.98,131.83,125.85,122.18
08/03/2016,131.37,,130.59,136.33,137.19,128.74,131.33,131.99,136.1,140.4,122.32,131.48,126.5,123.41
09/03/2016,132.12,,131.07,137.25,137.05,130.2,132.39,132.98,137.1,141.48,122.11,131.91,126.91,124.97
10/03/2016,132.91,,131.23,138.46,137.19,131.81,132.3,133.6,138.13,141.65,122.15,133.46,128.09,126.81
11/03/2016,133.45,,132.37,138.81,136.77,132.52,130.37,134.68,138.22,141.8,123.54,134.53,129.75,127.98
