Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01/01/2016,12754,,11969,14566,13902,12523,11197,13182,14167,13223,11360,13719,12537,11814
02/01/2016,13089,,12267,15010,14150,12792,11497,13682,14553,13614,11594,14122,12808,12200
03/01/2016,13353,,12533,15369,14355,12981,11767,14119,14860,13905,11802,14366,13025,12497
04/01/2016,13537,,12725,15642,14439,13172,11915,14460,15053,14125,12056,14401,13137,12740
05/01/2016,13670,,12801,15823,14388,13319,12084,14749,15199,14327,12161,14358,13213,12965
06/01/2016,13779,,12781,15933,14334,13400,12194,14988,15338,14524,12173,14445,13273,13130
07/01/2016,13879,,12791,15910,14329,13434,12331,15134,15463,14715,12234,14579,13423,13245
08/01/2016,13954,,12870,15799,14387,13545,12446,15154,15573,14851,12233,14650,13619,13317
09/01/2016,14009,,12939,15726,14308,13686,12556,15119,15665,14963,12204,14714,13773,13397
10/01/2016,14082,,12973,15728,14238,13785,12751,15151,15788,15088,12206,14799,13841,13491
11/01/2016,14121,,12938,15735,14306,13820,12811,15143,15813,15216,12173,14868,13893,13543
12/01/2016,14155,,13003,15773,14509,13712,12794,15076,15835,15304,12200,14921,13949,13615
13/01/2016,14175,,13108,15788,14693,13599,12804,15057,15817,15366,12215,14996,13940,13629
14/01/2016,14205,,13221,15801,14885,13552,12876,15090,15821,15358,12208,15084,13949,13595
15/01/2016,14221,,13292,15813,15035,13626,12950,15108,15780,15299,12160,15103,13948,13492
16/01/2016,14260,,13314,15875,15163,13855,12959,15144,15758,15270,12104,15106,13986,13483
17/01/2016,14304,,13277,15894,15332,14050,12941,15128,15822,15125,12151,15065,14066,13555
18/01/2016,14339,,13284,15853,15468,14177,12904,15101,15858,15020,12309,15079,14158,13617
19/01/2016,14370,,13315,15814,15575,14219,12893,15038,15895,15030,12368,15111,14246,13686
20/01/2016,14372,,13386,15775,15643,14210,12876,14887,15938,15035,12373,15180,14300,13645
21/01/2016,14392,,13512,15730,15732,14146,12820,14788,16014,15101,12432,15302,14375,13683
22/01/2016,14435,,13583,15768,15767,14162,12790,14797,16149,15198,12536,15388,14357,13785
23/01/2016,14480,,13585,15848,15834,14250,12818,14839,16343,15245,12633,15432,14195,13837
24/01/2016,14512,,13599,15892,15818,14308,12866,14887,16486,15321,12694,15382,14060,13908
25/01/2016,14532,,13678,15836,15839,14232,12933,14950,16603,15441,12732,15283,14032,13987
26/01/2016,14543,,13805,15792,15885,14098,12992,14934,16671,15498,12875,15161,13988,13996
27/01/2016,14587,,14022,15796,15880,14007,13055,14929,16663,15639,13064,15074,14120,13973
28/01/2016,14645,,14262,15734,15841,13967,13122,14940,16591,15835,13282,15134,14219,14004
29/01/2016,14725,,14505,15572,15846,13972,13186,15028,16547,16036,13409,15336,14388,14080
30/01/2016,14808,,14749,15491,15895,14010,13266,15194,16523,16184,13558,15564,14539,14016
31/01/2016,14888,,15003,15391,16022,14112,13321,15348,16541,16234,13732,15759,14641,13954
01/02/2016,14939,,15240,15314,16159,14220,13287,15572,16459,16224,13845,15806,14694,14000
02/02/2016,14976,,15387,15304,16224,14308,13315,15707,16424,16096,13871,15837,14831,14091
03/02/2016,15005,,15502,15260,16270,14437,13403,15804,16356,15977,13905,15912,14963,14109
04/02/2016,15035,,15614,15219,16186,14592,13606,15788,16302,15975,13916,16014,15051,14181
05/02/2016,15058,,15775,15193,16025,14787,13780,15637,16208,15989,13935,16132,15161,14256
06/02/2016,15110,,15915,15161,15932,14985,13947,15565,16237,16038,14058,16247,15247,14323
07/02/2016,15165,,15976,15204,15910,15181,13988,15490,16311,16079,14186,16329,15314,14453
08/02/2016,15223,,16042,15259,15979,15339,13949,15490,16333,16145,14317,16336,15381,14570
09/02/2016,15273,,16139,15339,16044,15454,13918,15512,16267,16209,14400,16388,15472,14593
10/02/2016,15305,,16185,15318,16119,15473,13914,15501,16206,16307,14449,16394,15596,14536
11/02/2016,15350,,16270,15387,16250,15446,13839,15472,16122,16386,14522,16362,15707,14606
12/02/2016,15430,,16382,15516,16386,15480,13856,15547,16096,16481,14710,16312,15796,14807
13/02/2016,15535,,16461,15746,16571,15518,13911,15540,16188,16578,14901,16257,15979,15018
14/02/2016,15638,,16552,15982,16772,15552,14009,15548,16349,16669,15107,16176,16236,15054
15/02/2016,15727,,16629,16153,16864,15623,14160,15597,16532,16728,15316,16186,16375,14941
16/02/2016,15815,,16738,16274,16943,15573,14362,15702,16694,16758,15379,16299,16487,14895
17/02/2016,15926,,16901,16303,16933,15562,14661,15806,16805,16836,15497,16484,16562,14988
18/02/2016,16040,,17107,16382,16917,15585,14970,15816,16865,16882,15725,16662,16628,15104
19/02/2016,16136,,17294,16469,16906,15577,15228,15719,16892,16922,15956,16832,16683,15211
20/02/2016,16237,,17434,16688,16837,15558,15488,15682,16885,16938,16206,17020,16749,15270
21/02/2016,16325,,17484,16921,16862,15524,15664,15648,17044,16945,16300,17104,16849,15322
22/02/2016,16424,,17480,17082,16933,15587,15843,15752,17190,16990,16442,17198,16859,15409
