Date,total,SoO,BerS,Hudson,Baffin,Green,Barents,Kara,Laptev,EastS,Chuck,BeaS,Canada,Central
03/07/2012,12429.605,21.833,5.129,539.877,328.701,448.816,44.509,202.784,1074.253,1662.938,654.722,756.589,999.837,5685.916
04/07/2012,11867.556,4.912,1.394,411.875,257.775,427.021,35.689,181.684,1006.598,1596.036,615.004,717.876,977.728,5632.162
05/07/2012,11400.843,2.571,1.316,276.275,200.707,408.658,32.497,165.022,932.809,1537.618,599.807,680.396,966.985,5594.618
06/07/2012,11064.468,1.415,0.986,214.195,183.173,392.971,30.198,155.282,872.094,1459.14,592.214,651.86,947.426,5561.159
07/07/2012,10799.228,1.097,0.75,219.427,165.714,357.597,24.103,142.3,819.079,1391.015,585.362,625.546,921.752,5544.005
08/07/2012,10476.84,0.91,0.517,209.766,146.741,353.319,21.623,129.651,686.04,1332.692,564.268,602.019,890.613,5537.806
09/07/2012,10142.815,0.311,0.43,198.074,100.318,350.163,18.283,121.19,600.989,1238.437,538.797,586.333,859.173,5529.589
10/07/2012,9849.79,0.256,0.132,179.682,71.54,335.76,16.26,99.169,579.467,1163.123,518.033,581.523,823.112,5480.746
11/07/2012,9495.172,0.315,0.147,144.414,63.338,330.541,14.708,87.817,492.05,1138.409,481.06,565.992,793.36,5382.081
12/07/2012,9256.945,0.165,0.129,133.623,59.811,319.038,13.991,82.113,475.106,1077.906,475.458,539.246,762.106,5317.482
13/07/2012,8995.19,0.174,0.117,123.176,56.511,301.521,12.598,78.132,449.033,1033.218,454.033,508.471,736.008,5241.57
14/07/2012,8716.077,0.162,0.117,113.614,53.447,289.96,10.79,72.703,416.192,955.396,441.267,478.122,707.032,5176.604
15/07/2012,8472.847,0.15,0.174,103.454,51.701,279.415,9.603,66.335,391.462,907.619,417.199,453.407,674.798,5116.88
16/07/2012,8229.719,0.15,0.18,96.686,50.153,270.346,9.355,55.138,369.004,856.732,396.435,428.92,644.157,5051.932
17/07/2012,8001.13,0.15,0.12,96.686,48.947,263.19,9.304,53.784,308.293,821.283,375.059,411.255,609.802,5002.754
18/07/2012,7782.117,0.114,0.136,94.889,47.169,258.507,8.818,49.271,307.372,743.792,362.529,396.009,567.628,4945.365
19/07/2012,7516.387,0.114,0.09,89.919,43.335,250.877,9.88,44.142,288.454,703.806,339.968,378.338,506.897,4859.992
20/07/2012,7307.703,0.064,0.09,78.386,34.651,244.841,9.108,43.377,280.419,664.461,323.351,357.31,474.256,4796.914
21/07/2012,7106.11,0.064,0.038,72.592,30.073,233.318,4.75,37.675,280.286,615.805,308.47,342.058,452.818,4726.935
22/07/2012,6861.009,0.065,0.055,67.459,30.626,227.333,2.737,26.68,257.452,585.102,273.054,323.285,423.65,4642.545
23/07/2012,6702.777,0.065,0.026,65.856,30.309,219.262,2.027,27.06,250.571,548.936,258.315,303.654,398.538,4597.444
24/07/2012,6544.962,0.431,0.053,59.629,27.483,209.497,1.762,18.136,244.752,532.485,240.323,286.612,375.684,4547.431
25/07/2012,6411.998,0.184,0.069,57.742,25.391,201.635,1.596,19.058,234.627,514.386,228.079,267.381,347.248,4513.963
26/07/2012,6220.119,0.05,0.112,58.19,19.074,195.69,1.448,16.707,220.019,480.225,166.731,250.542,328.031,4482.704
27/07/2012,6061.806,0.158,0.042,52.53,19.07,191.371,1.503,13.489,207.108,443.122,148.311,235.745,303.582,4445.344
28/07/2012,5937.32,0.404,0.041,51.63,15.414,188.494,1.646,13.153,186.097,430.636,142.071,231.932,276.493,4397.162
29/07/2012,5766.73,0.166,0.056,50.271,14.871,164.105,1.313,13.054,180.143,402.924,139.386,225.615,258.584,4314.103
30/07/2012,5581.094,0.122,0.041,48.752,15.38,163.136,1.695,12.353,173.713,379.356,126.916,189.197,250.211,4219.758
31/07/2012,5394.072,1.476,0.073,46.747,14.647,151.135,1.22,11.581,167.959,358.871,123.923,169.439,235.739,4110.818
01/08/2012,5262.411,0.635,0.088,43.257,12.32,149.669,1.06,10.894,160.836,339.779,116.359,172.642,220.745,4033.656
02/08/2012,5091.096,0.364,0.062,39.874,10.295,148.276,1.193,10.058,154.323,303.391,104.589,154.154,209.506,3954.564
