Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01/01/2016,108,,98.69,118.6,113.56,103.54,94.37,111.9,115.7,107.67,94.83
02/01/2016,110.51,,101.12,121.94,115.23,105.79,95.9,115.38,118,110.68,96.48
03/01/2016,112.4,,103.11,124.59,116.69,106.95,97.24,118.54,119.93,112.11,97.77
04/01/2016,113.81,,104.31,126.99,116.31,108.5,97.9,120.96,121.11,114.36,99.21
05/01/2016,114.67,,104.18,128.76,115.83,108.55,99.05,123.11,121.93,115.98,99.57
06/01/2016,115.39,,103.36,129.14,115.88,108.56,100.59,125.57,122.87,117.13,99.02
07/01/2016,115.75,,103.29,128.64,116.13,108.26,102.2,126.33,123.64,117.52,98.35
08/01/2016,116.17,,103.24,127.76,116.43,108.78,103.09,126.39,124.18,119.51,97.9
09/01/2016,116.11,,103.53,126.36,115.31,109.34,103.41,125.84,124.44,120.68,97.01
10/01/2016,115.83,,102.98,125.57,113.58,109,105.3,125.55,123.46,121.25,96.9
11/01/2016,116.01,,102.8,124.99,114.12,108.98,105.65,125.1,125.73,120.69,96.16
12/01/2016,115.88,,102.32,124.41,114.92,108.28,105.68,123.44,126.5,121.49,95.39
13/01/2016,115.77,,102.71,124.37,115.46,107.53,105.77,123.15,125.4,121.75,95.12
14/01/2016,115.47,,103.26,124.06,116.63,106.84,106.1,122.27,124.03,120.59,94.58
15/01/2016,115.16,,102.8,123.42,117.17,107.54,106.08,120.78,123.46,120,93.63
16/01/2016,114.94,,102.64,123.41,117.75,108.86,105.11,119.28,123.24,119.27,92.72
17/01/2016,115.25,,102.57,123.17,119.07,110.52,104.46,121.5,123.27,117.41,92.79
18/01/2016,114.99,,102.74,122.33,119.8,111.38,103.47,121.13,123.21,115.84,94.23
19/01/2016,114.48,,102.41,121.73,119.04,111.24,101.88,120.93,122.84,115.79,94.79
20/01/2016,114.29,,102.73,121,120.61,110.76,101.13,120.17,122.41,115.52,94.54
21/01/2016,114.2,,103.39,120.77,120.86,109.96,100.1,119.56,123.47,115.5,94.55
22/01/2016,114.29,,103.82,120.22,121.07,110.05,99.73,119.2,124.46,115.78,94.84
23/01/2016,114.35,,103.9,120.84,120.84,110.49,99.1,118.84,125.63,115.17,95.08
24/01/2016,114.39,,102.13,121.1,120.75,110.56,99.53,118.67,126.18,116.2,95.56
25/01/2016,114.46,,102.65,119.68,120.95,109.61,99.31,119.88,126.75,116.88,95.84
26/01/2016,114.64,,103.64,118.27,121.64,108.08,101.1,120.65,126.78,116.99,96.56
27/01/2016,114.92,,104.96,119.49,121.72,107.24,101.61,119.76,126.74,117.8,97.89
28/01/2016,114.95,,106.92,119.57,120.43,107.41,101.95,118.98,125.43,118.94,99.43
29/01/2016,115.26,,108.73,118.36,120.53,107.01,102.47,119.45,125.71,119.83,100.33
30/01/2016,115.52,,110.34,117.12,120.33,107.04,102.96,120.13,125.72,120.53,100.85
31/01/2016,115.89,,112.15,116.02,120.82,108.26,102.62,120.25,126.41,120.58,101.88
