Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01/01/2016,13091,,11969,14566,13902,12523,11197,13182,14167,13223,11360
02/01/2016,13446,,12267,15010,14150,12792,11497,13682,14553,13614,11594
03/01/2016,13736,,12533,15369,14355,12981,11767,14119,14860,13905,11802
04/01/2016,13941,,12725,15642,14439,13172,11915,14460,15053,14125,12056
05/01/2016,14086,,12801,15823,14388,13319,12084,14749,15199,14327,12161
06/01/2016,14187,,12781,15933,14334,13400,12194,14988,15338,14524,12173
07/01/2016,14263,,12791,15910,14329,13434,12331,15134,15463,14715,12234
08/01/2016,14328,,12870,15799,14387,13545,12446,15154,15573,14851,12233
09/01/2016,14370,,12939,15726,14308,13686,12556,15119,15665,14963,12204
10/01/2016,14438,,12973,15728,14238,13785,12751,15151,15788,15088,12206
11/01/2016,14473,,12938,15735,14306,13820,12811,15143,15813,15216,12173
12/01/2016,14501,,13003,15773,14509,13712,12794,15076,15835,15304,12200
13/01/2016,14529,,13108,15788,14693,13599,12804,15057,15817,15366,12215
14/01/2016,14576,,13221,15801,14885,13552,12876,15090,15821,15358,12208
15/01/2016,14613,,13292,15813,15035,13626,12950,15108,15780,15299,12160
16/01/2016,14667,,13314,15875,15163,13855,12959,15144,15758,15270,12104
17/01/2016,14696,,13277,15894,15332,14050,12941,15128,15822,15125,12151
18/01/2016,14708,,13284,15853,15468,14177,12904,15101,15858,15020,12309
19/01/2016,14722,,13315,15814,15575,14219,12893,15038,15895,15030,12368
20/01/2016,14719,,13386,15775,15643,14210,12876,14887,15938,15035,12373
21/01/2016,14730,,13512,15730,15732,14146,12820,14788,16014,15101,12432
22/01/2016,14777,,13583,15768,15767,14162,12790,14797,16149,15198,12536
23/01/2016,14845,,13585,15848,15834,14250,12818,14839,16343,15245,12633
24/01/2016,14897,,13599,15892,15818,14308,12866,14887,16486,15321,12694
25/01/2016,14939,,13678,15836,15839,14232,12933,14950,16603,15441,12732
26/01/2016,14959,,13805,15792,15885,14098,12992,14934,16671,15498,12875
27/01/2016,14999,,14022,15796,15880,14007,13055,14929,16663,15639,13064
28/01/2016,15036,,14262,15734,15841,13967,13122,14940,16591,15835,13282
29/01/2016,15086,,14505,15572,15846,13972,13186,15028,16547,16036,13409
30/01/2016,15164,,14749,15491,15895,14010,13266,15194,16523,16184,13558
31/01/2016,15246,,15003,15391,16022,14112,13321,15348,16541,16234,13732
01/02/2016,15310,,15240,15314,16159,14220,13287,15572,16459,16224,13845
