Date,total,SoO,BerS,Hudson,Baffin,Green,Barents,Kara,Laptev,EastS,Chuck,BeaS,Canada,Central
03/07/2012,151.1878292,68.228125,76.55223881,130.4365789,129.2063679,84.31636295,91.0204499,117.8976744,154.9924975,145.0700515,134.4398357,122.0895595,155.1578212,179.7179341
04/07/2012,146.4298793,96.31372549,66.38095238,108.9904737,112.076087,78.99019608,83.77699531,109.3822998,146.0319164,140.4466737,128.1525318,115.6931507,150.9771464,178.0526682
05/07/2012,143.6616263,85.7,50.61538462,103.1261665,98.0493405,76.78654641,72.8632287,101.8654321,138.3784305,136.4225002,123.2648993,111.8152835,147.40625,176.815461
06/07/2012,141.2383104,83.23529412,37.92307692,96.57123535,82.32494382,74.78039962,67.25612472,95.44068838,132.3359636,132.9028145,123.0191109,109.7592187,145.4669123,175.8580464
07/07/2012,138.723753,84.38461538,37.5,65.87421195,77.00464684,82.22510922,71.31065089,86.60986001,125.9152959,127.9447204,123.3639621,106.9126645,142.8851341,175.6822575
08/07/2012,137.6195668,70,32.3125,70.20281124,73.99949571,78.01258556,66.12538226,82.52768937,126.9034406,121.7626313,121.3740589,104.9179157,139.2235423,175.5136283
09/07/2012,136.5134793,51.83333333,43,78.16653512,79.68069897,71.20028467,58.78778135,76.46056782,114.8021012,117.4430536,119.3877687,106.3739115,136.3983172,175.1976744
10/07/2012,134.3745651,51.2,18.85714286,85.44079886,80.56306306,72.47140082,52.11538462,79.910556,99.10501112,110.0192017,117.6545537,105.2339848,134.1010101,173.4468179
11/07/2012,132.2557874,35,18.375,98.30769231,75.40238095,71.02299098,45.11656442,65.24294205,107.0371982,104.7294388,111.2277457,102.3123644,127.3451043,170.5132746
12/07/2012,128.4491515,41.25,18.42857143,86.31976744,66.97760358,72.0501355,39.3005618,64.40235294,88.22766945,103.3764266,106.5571493,97.84902921,124.4457871,168.1949075
13/07/2012,126.1544395,34.8,19.5,90.63723326,62.79,73.29144385,37.27218935,59.96316193,86.03812991,97.76854656,103.9928997,95.23712306,120.1841933,165.6680047
14/07/2012,125.1339047,40.5,19.5,86.86085627,59.25388027,71.43631436,33.30246914,57.29156816,86.54439592,97.71872763,100.6310148,93.74941176,117.6034597,163.4441778
15/07/2012,121.7048321,50,17.4,79.58,55.17716115,69.07663782,32.11705686,54.46223317,81.99874319,89.60598282,97.93403756,89.34128079,115.3895349,161.4616137
16/07/2012,118.8269803,50,18,77.9097502,50.86511156,65.69769137,28.87345679,55.86423506,80.42807323,85.32337417,91.64008322,83.05964369,112.2615894,159.2965883
17/07/2012,117.9324932,50,20,77.9097502,51.25340314,65.89634452,28.02409639,48.93903549,88.0585547,83.20160065,88.08337248,77.69790289,110.0129894,157.6663725
18/07/2012,115.0792174,38,19.42857143,72.54510703,49.96716102,67.92091435,27.72955975,49.7184662,74.31624758,81.08492314,84.23071561,73.13185596,103.8850659,155.8331495
19/07/2012,112.9095238,38,22.5,70.08495713,51.65077473,66.59861959,26.77506775,48.93791574,77.98161665,75.28947368,79.32057863,69.54742647,103.8085194,153.2008952
20/07/2012,110.158627,32,22.5,78.30769231,56.80491803,62.98970929,26.17241379,43.24725823,74.79834623,71.84915657,74.31647897,66.46391369,94.87017403,151.131506
21/07/2012,108.5532064,32,12.66666667,81.01785714,51.31911263,63.28125848,28.78787879,45.50120773,74.40562782,70.75778467,70.92894918,62.31699763,86.33326978,149.2559204
22/07/2012,107.8435869,32.5,13.75,78.53201397,41.21938089,63.46538247,31.10227273,48.33333333,82.51666667,65.42569608,70.99687988,60.23569965,85.37887948,147.3964187
23/07/2012,105.1020322,32.5,13,71.27272727,38.61019108,63.02443231,27.76712329,37.37569061,78.32791497,62.1812415,62.33470077,57.13151458,83.16736227,146.0897363
24/07/2012,104.530401,53.875,13.25,78.15072084,39.20542083,61.0600408,29.86440678,45.22693267,83.4192229,58.87064677,60.73363659,55.03302611,79.35868188,145.1276888
25/07/2012,102.9510613,18.4,13.8,69.31812725,37.23020528,58.54674797,26.6,31.76333333,80.54479918,56.53214639,56.05283854,53.85317221,80.14031849,144.5023049
26/07/2012,103.7308885,50,14,62.77238403,40.24050633,56.47619048,28.39215686,32.19075145,81.12794985,54.92051693,60.82852973,52.90160473,74.24875509,143.9578663
27/07/2012,102.9396301,17.55555556,14,69.30079156,33.10763889,54.70869068,21.47142857,33.30617284,83.042502,51.19838244,47.98155937,57.7664788,73.68495146,142.8957536
