Date,Europe,Scandinavia,West Europe,Central Europe,Southern Europe,Eastern Europe
05/02/1997,0.011,0.086,0.486,-0.218,0.632,-0.195
06/02/1997,0.03,0.104,0.529,-0.002,0.641,-0.246
07/02/1997,0.017,0.162,0.505,0.183,0.696,-0.365
08/02/1997,0.031,0.169,0.56,0.265,0.681,-0.372
09/02/1997,0.031,0.174,0.569,0.354,0.625,-0.391
10/02/1997,0.091,0.178,0.558,0.508,0.674,-0.328
11/02/1997,0.117,0.196,0.666,0.586,0.729,-0.341
12/02/1997,0.131,0.206,0.693,0.673,0.712,-0.346
13/02/1997,0.136,0.213,0.741,0.647,0.721,-0.341
14/02/1997,0.079,0.094,0.542,0.715,0.592,-0.373
15/02/1997,0.089,0.096,0.425,0.764,0.647,-0.358
16/02/1997,0.078,0.1,0.413,0.776,0.576,-0.366
17/02/1997,-0.007,-0.002,0.28,0.539,0.546,-0.399
18/02/1997,-0.028,0,0.227,0.475,0.512,-0.403
19/02/1997,-0.059,0.035,0.187,0.545,0.475,-0.487
20/02/1997,-0.16,0.019,0.148,0.366,0.327,-0.591
21/02/1997,-0.084,-0.004,0.136,0.282,0.285,-0.378
22/02/1997,0.075,-0.012,0.143,0.523,0.291,-0.121
23/02/1997,0.126,-0.036,0.157,0.977,0.369,-0.182
24/02/1997,0.155,-0.035,0.373,0.914,0.436,-0.16
25/02/1997,0.043,-0.056,0.347,0.839,0.265,-0.317
26/02/1997,0.027,-0.006,0.285,0.797,0.263,-0.34
27/02/1997,0.022,0.162,0.251,0.745,0.224,-0.371
28/02/1997,0.36,0.154,0.153,1.051,0.252,0.262
01/03/1997,0.299,0.215,0.139,0.854,0.082,0.227
02/03/1997,0.305,0.245,0.131,0.813,0.134,0.231
03/03/1997,0.322,0.245,0.147,0.816,0.173,0.253
04/03/1997,0.288,0.37,0.214,0.671,0.147,0.183
05/03/1997,0.334,0.439,0.198,0.742,0.249,0.208
06/03/1997,0.37,0.469,0.261,0.937,0.244,0.198
07/03/1997,0.42,0.613,0.206,0.929,0.273,0.263
08/03/1997,0.413,0.625,0.269,0.912,0.363,0.214
