Date,Greenland AWP,Canada,USA 48,eastern Canada,Central Canada,Canadian Rockies,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
1997-036,0.038,1.273,6.889,2.267,1.537,1.565,0.167,0.424,6.083,5.177,8.127,4.011
1997-037,0.041,1.293,6.999,2.255,1.585,1.616,0.179,0.449,5.816,5.258,8.252,4.256
1997-038,0.045,1.34,6.862,2.326,1.643,1.668,0.196,0.487,5.909,5.13,8.379,4.035
1997-039,0.049,1.381,6.421,2.384,1.695,1.722,0.211,0.515,5.459,3.871,8.509,3.923
1997-040,0.054,1.424,6.53,2.444,1.748,1.778,0.226,0.545,4.706,3.844,8.642,4.445
1997-041,0.058,1.467,6.703,2.505,1.803,1.835,0.242,0.577,4.781,4.1,8.777,4.584
1997-042,0.064,1.513,7.017,2.568,1.859,1.895,0.26,0.61,5.03,4.746,8.914,4.7
1997-043,0.069,1.56,7.208,2.632,1.917,1.956,0.278,0.644,5.237,5.041,9.054,4.759
1997-044,0.075,1.608,7.247,2.698,1.977,2.018,0.298,0.68,5.157,5.14,9.196,4.855
1997-045,0.082,1.657,7.432,2.765,2.036,2.083,0.318,0.718,5.28,5.292,9.365,4.971
1997-046,0.089,1.708,7.53,2.833,2.099,2.149,0.34,0.757,5.364,5.372,9.511,5.043
1997-047,0.097,1.76,7.878,2.903,2.162,2.217,0.363,0.798,5.735,5.822,9.812,5.365
1997-048,0.105,1.813,8.113,2.94,2.262,2.286,0.387,0.841,5.596,6.252,9.965,5.548
1997-049,0.114,1.866,8.57,3.014,2.323,2.357,0.412,0.924,6.488,6.738,10.094,6.106
1997-050,0.124,1.926,8.842,3.087,2.402,2.43,0.439,0.972,6.691,7.246,10.251,6.256
1997-051,0.134,1.983,9.068,3.162,2.473,2.505,0.467,1.021,7.483,7.478,10.41,6.363
1997-052,0.145,2.056,9.389,3.277,2.559,2.582,0.496,1.072,8.444,7.894,10.571,6.561
1997-053,0.157,2.106,9.28,3.312,2.633,2.662,0.526,1.125,8.623,7.458,10.784,6.498
1997-054,0.169,2.168,9.417,3.391,2.708,2.741,0.558,1.18,9.306,7.635,10.949,6.388
