Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
05/02/1997,0.001,0.026,0.251,0.148,-0.048,0.005,0.014,0.789,0.79,0.069,-0.271
06/02/1997,0.001,0.007,0.258,0.083,-0.051,0.006,0.015,0.491,0.813,0.106,-0.194
07/02/1997,0.001,-0.004,0.011,0.066,-0.069,0.004,0.005,0.444,0.452,0.084,-0.582
08/02/1997,0.001,-0.005,-0.609,0.062,-0.069,0.004,0.005,-0.036,-1.032,0.107,-0.865
09/02/1997,0.001,-0.008,-0.642,0.064,-0.078,0.005,0.007,-0.894,-1.334,0.111,-0.413
10/02/1997,0.001,-0.006,-0.452,0.076,-0.082,0.005,0.005,-0.749,-0.963,0.175,-0.244
11/02/1997,0.001,-0.001,-0.286,0.087,-0.079,0.006,0.002,-0.524,-0.415,0.092,-0.345
12/02/1997,0.001,0.002,-0.249,0.089,-0.072,0.006,0.003,-0.394,-0.292,0.011,-0.385
13/02/1997,0.001,0.002,-0.19,0.091,-0.075,0.007,0.006,-0.432,-0.05,-0.008,-0.442
14/02/1997,0.002,0.007,-0.17,0.095,-0.062,0.007,0.007,-0.372,-0.102,0.013,-0.341
15/02/1997,0.002,0.005,-0.279,0.096,-0.069,0.008,0.003,-0.469,-0.253,-0.074,-0.49
16/02/1997,0.002,0.004,-0.151,0.099,-0.077,0.008,0.003,-0.151,-0.109,0.104,-0.341
17/02/1997,0.002,0,-0.087,0.061,-0.057,0.009,0.008,-0.423,0.016,0.098,-0.196
18/02/1997,0.002,-0.001,0.213,0.069,-0.068,0.01,0.047,0.265,0.351,0.157,0.186
19/02/1997,0.003,-0.005,0.339,0.06,-0.073,0.011,0.053,0.315,0.588,0.221,0.31
20/02/1997,0.003,-0.003,0.479,0.058,-0.066,0.011,0.057,0.928,0.821,0.353,0.325
21/02/1997,0.003,0.013,0.73,0.097,-0.051,0.012,0.061,1.671,1.25,0.262,0.478
22/02/1997,0.003,0.003,0.482,0.049,-0.044,0.013,0.064,1.811,0.663,0.223,0.269
23/02/1997,0.004,0.004,0.511,0.04,-0.037,0.014,0.062,2.185,0.767,0.218,0.15
24/02/1997,0.004,0.001,0.185,0.046,-0.051,0.015,0.064,1.793,0.229,0.368,-0.236
25/02/1997,0.004,0.002,0.188,0.063,-0.062,0.016,0.063,1.843,0.356,0.341,-0.371
26/02/1997,0.005,0.014,0.257,0.071,-0.035,0.018,0.058,1.943,0.56,0.44,-0.4
27/02/1997,0.005,0.013,0.205,0.072,-0.039,0.019,-0.002,2.49,0.19,0.46,-0.282
28/02/1997,0.006,0.014,-0.023,0.064,-0.033,0.02,-0.002,2.715,0.502,0.348,-1.395
01/03/1997,0.006,0.01,0.244,0.054,-0.038,0.022,-0.007,2.947,1.119,0.344,-1.254
02/03/1997,0.007,0.013,0.29,0.067,-0.04,0.023,-0.015,3.066,1.456,0.43,-1.499
03/03/1997,0.007,0.025,0.584,0.084,-0.021,0.025,-0.009,3.216,1.79,0.344,-0.947
